time_ms,current_ma,voltage_mv
22311602,0,
22311666,,12261
22311762,-1,
22311826,,12261
22311906,0,
22311970,,12261
22312049,0,
22312113,,12261
22312193,0,
22312257,,12261
22312353,0,
22312417,,12261
22312497,-1,
22312560,,12261
22312640,-1,
